DATAFLOW,LAST UPDATE,freq,nace_r2,wstatus,worktime,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2012-Q1,36.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2012-Q2,35.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2012-Q3,37.3,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2012-Q4,36.0,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2013-Q1,36.2,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2013-Q2,35.4,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2013-Q3,36.9,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2013-Q4,35.9,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2014-Q1,35.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2014-Q2,34.9,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2014-Q3,36.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2014-Q4,35.6,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2015-Q1,35.4,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2015-Q2,35.0,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2015-Q3,36.6,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2015-Q4,34.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2016-Q1,35.1,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2016-Q2,35.3,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2016-Q3,36.4,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2016-Q4,34.8,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2017-Q1,35.8,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2017-Q2,34.4,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2017-Q3,35.9,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2017-Q4,34.8,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2018-Q1,35.6,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2018-Q2,34.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2018-Q3,36.3,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2018-Q4,35.3,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2019-Q1,35.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2019-Q2,34.8,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2019-Q3,36.3,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2019-Q4,35.5,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2020-Q1,34.9,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2020-Q2,31.8,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2020-Q3,35.4,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2020-Q4,33.6,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2021-Q1,33.8,b,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2021-Q2,33.3,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2021-Q3,34.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2021-Q4,32.9,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2022-Q1,34.1,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2022-Q2,33.3,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2022-Q3,34.4,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2022-Q4,33.0,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2023-Q1,34.1,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2023-Q2,33.0,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2023-Q3,34.1,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2023-Q4,32.9,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2024-Q1,34.0,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2024-Q2,32.9,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,2024-Q3,34.5,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2008-Q1,36.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2008-Q2,36.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2008-Q3,37.2,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2008-Q4,36.5,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2009-Q1,36.9,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2009-Q2,36.1,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2009-Q3,37.3,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2009-Q4,36.5,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2010-Q1,37.5,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2010-Q2,36.5,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2010-Q3,37.4,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2010-Q4,36.6,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2011-Q1,37.0,b,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2011-Q2,36.9,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2011-Q3,37.2,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2011-Q4,36.4,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2012-Q1,37.2,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2012-Q2,36.2,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2012-Q3,37.0,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2012-Q4,36.3,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2013-Q1,36.6,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2013-Q2,37.1,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2013-Q3,37.4,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2013-Q4,36.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2014-Q1,36.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2014-Q2,36.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2014-Q3,37.1,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2014-Q4,37.3,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2015-Q1,37.1,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2015-Q2,36.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2015-Q3,37.3,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2015-Q4,36.9,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2016-Q1,37.2,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2016-Q2,36.8,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2016-Q3,37.2,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2016-Q4,36.6,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2017-Q1,37.1,b,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2017-Q2,36.2,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2017-Q3,36.4,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2017-Q4,35.9,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2018-Q1,36.5,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2018-Q2,36.3,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2018-Q3,36.3,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2018-Q4,36.2,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2019-Q1,36.4,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2019-Q2,36.4,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2019-Q3,36.4,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2019-Q4,35.8,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2020-Q1,35.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2020-Q2,34.8,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2020-Q3,36.0,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2020-Q4,35.5,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2021-Q1,35.7,b,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2021-Q2,34.5,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2021-Q3,34.9,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2021-Q4,34.0,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2022-Q1,35.7,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2022-Q2,34.6,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2022-Q3,34.4,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2022-Q4,34.0,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2023-Q1,35.8,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2023-Q2,34.3,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2023-Q3,34.4,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2023-Q4,34.1,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2024-Q1,35.0,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2024-Q2,33.8,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,2024-Q3,34.3,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Bulgaria,2008-Q1,40.7,b,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Bulgaria,2008-Q2,41.0,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Bulgaria,2008-Q3,41.8,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Bulgaria,2008-Q4,41.0,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Bulgaria,2009-Q1,39.8,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Bulgaria,2009-Q2,40.0,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Bulgaria,2009-Q3,41.2,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Bulgaria,2009-Q4,40.6,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Bulgaria,2010-Q1,40.2,b,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Bulgaria,2010-Q2,40.5,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Bulgaria,2010-Q3,40.9,,
ESTAT:LFSQ_EWHAN2(1.0),13/12/24 11:00:00,Quarterly,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Bulgaria,2010-Q4,40.5,,
